stationID,obsTimeUtc,obsTimeLocal,solarRadiation,lon,epoch,lat,uv,winddir,humidity,imperial.temp,imperial.heatIndex,imperial.dewpt,imperial.windChill,imperial.windSpeed,imperial.windGust,imperial.pressure,imperial.precipRate,imperial.precipTotal
KTXDALLA724,2022-08-06T00:59:58Z,2022-08-05 19:59:58,30.7,-96.838997,1659747598,32.754002,0,90,35,99,103,67,99,0,0,30.06,0,0
KTXDALLA724,2022-08-06T01:59:58Z,2022-08-05 20:59:58,7.7,-96.838997,1659751198,32.754002,0,113,44,94,99,69,94,1,2,30.08,0,0
KTXDALLA724,2022-08-06T02:59:58Z,2022-08-05 21:59:58,0,-96.838997,1659754798,32.754002,0,113,50,91,97,70,91,1,1,30.1,0,0
KTXDALLA724,2022-08-06T03:59:58Z,2022-08-05 22:59:58,0,-96.838997,1659758398,32.754002,0,102,55,88,94,71,88,0,1,30.12,0,0
KTXDALLA724,2022-08-06T04:59:58Z,2022-08-05 23:59:58,0,-96.838997,1659761998,32.754002,0,102,60,86,91,71,86,0,1,30.13,0,0
KTXDALLA724,2022-08-06T05:59:58Z,2022-08-06 00:59:58,0,-96.838997,1659765598,32.754002,0,111,63,84,89,71,84,1,1,30.14,0,0
KTXDALLA724,2022-08-06T06:59:58Z,2022-08-06 01:59:58,0,-96.838997,1659769198,32.754002,0,109,67,83,88,71,83,0,1,30.14,0,0
KTXDALLA724,2022-08-06T07:59:58Z,2022-08-06 02:59:58,0,-96.838997,1659772798,32.754002,0,127,68,82,86,71,82,0,1,30.14,0,0
KTXDALLA724,2022-08-06T08:59:58Z,2022-08-06 03:59:58,0,-96.838997,1659776398,32.754002,0,109,71,81,85,71,81,0,1,30.15,0,0
KTXDALLA724,2022-08-06T09:59:58Z,2022-08-06 04:59:58,0,-96.838997,1659779998,32.754002,0,119,73,80,84,71,80,0,1,30.16,0,0
KTXDALLA724,2022-08-06T10:59:58Z,2022-08-06 05:59:58,0,-96.838997,1659783598,32.754002,0,122,75,79,82,71,79,0,0,30.17,0,0
KTXDALLA724,2022-08-06T11:59:58Z,2022-08-06 06:59:58,4.77,-96.838997,1659787198,32.754002,0,124,78,78,79,71,78,0,0,30.19,0,0
KTXDALLA724,2022-08-06T12:59:57Z,2022-08-06 07:59:57,25.56,-96.838997,1659790797,32.754002,0,109,80,78,79,72,78,0,0,30.2,0,0
KTXDALLA724,2022-08-06T13:59:57Z,2022-08-06 08:59:57,209.44,-96.838997,1659794397,32.754002,2,113,76,80,83,72,80,1,1,30.22,0,0
KTXDALLA724,2022-08-06T14:59:57Z,2022-08-06 09:59:57,424.26,-96.838997,1659797997,32.754002,4,118,67,85,91,73,85,1,1,30.22,0,0
KTXDALLA724,2022-08-06T15:59:57Z,2022-08-06 10:59:57,652.42,-96.838997,1659801597,32.754002,6,119,60,88,96,73,88,1,1,30.22,0,0
